Variable,Label
year,1945-1999
war ,0 (no); 1 (yes)
ef,ethnic fractionalisation (%)
relfrac,religious fractionalisation (%)
pop,population (in 1000s)
mtnest,mountainous terrain (%)
elevdiff,elevation difference of the highest and lowest points (metres)
polity2,regime score: -10 (autocracy) to 10 (democracy)
gdpen,"GDP per capita (in 1000s, 1985 US Dollar)"
Oil,less than 1/3 export revenue from oil (0); 1/3 or more export revenue from oil (1)
plural,share of largest ethnic group (\%)
