,ward,borough,inner,area,children,adults,elderly,age,education,crime,employed,benefits,migration,income,houseprice,cars,turnout
1,City of London,City of London,TRUE,3.2,650,6250,1250,41.3,68.4,656.4,4555,5.1,138.9,63620,765000,0.4,48.5
2,Barking and Dagenham - Abbey,Barking and Dagenham,FALSE,1.3,3850,10150,750,29.5,34.5,138.1,5444,15.1,108.7,33920,173000,0.5,25.7
3,Barking and Dagenham - Alibon,Barking and Dagenham,FALSE,1.4,2700,6800,1050,33.8,16.7,73.6,4143,20.7,31.1,32470,215000,0.8,20.3
4,Barking and Dagenham - Becontree,Barking and Dagenham,FALSE,1.3,3200,8350,1100,33,20.6,79.9,4598,17.8,38.6,33000,210000,0.9,22.5
5,Barking and Dagenham - Chadwell Heath,Barking and Dagenham,FALSE,3.4,2550,6400,1450,36.2,19.5,76.1,3819,19.4,26.3,33920,240500,0.9,25.3
6,Barking and Dagenham - Eastbrook,Barking and Dagenham,FALSE,3.5,2150,7050,1550,37.7,18.5,66.7,4592,14.7,18.4,37400,240000,1.1,24.1
7,Barking and Dagenham - Eastbury,Barking and Dagenham,FALSE,1.4,3000,7750,1150,33.4,20,82.2,4546,18.1,48.9,32870,220000,0.8,21.5
8,Barking and Dagenham - Gascoigne,Barking and Dagenham,FALSE,1.1,5100,9900,850,29,25.2,75.8,4382,19.5,69.6,29480,2e+05,0.5,25.6
9,Barking and Dagenham - Goresbrook,Barking and Dagenham,FALSE,1.3,3000,7250,1250,34.1,18.8,74.8,4544,18.9,27.4,33250,205000,0.8,20.5
10,Barking and Dagenham - Heath,Barking and Dagenham,FALSE,2,2900,6950,1300,34.4,17.6,83.7,4043,21.3,30,31340,215000,0.7,22.2
11,Barking and Dagenham - Longbridge,Barking and Dagenham,FALSE,1.6,2600,7850,1450,35.2,25,57,4894,11.1,39.8,40570,312750,1.1,30.6
12,Barking and Dagenham - Mayesbrook,Barking and Dagenham,FALSE,1.9,2850,6550,1150,33.9,16.2,67.9,3978,19.4,33.6,31530,212000,0.8,20.5
13,Barking and Dagenham - Parsloes,Barking and Dagenham,FALSE,1.2,2550,6400,1100,34.3,16,56.8,3785,19.5,31.9,31860,213000,0.8,19.3
14,Barking and Dagenham - River,Barking and Dagenham,FALSE,3.6,3150,7600,1200,33.4,19.5,85,4420,16.7,31.7,33490,205500,0.8,22.4
15,Barking and Dagenham - Thames,Barking and Dagenham,FALSE,7.9,6150,11850,950,28.7,24.4,95.6,4081,18.7,38.2,32580,219000,0.7,22.1
16,Barking and Dagenham - Valence,Barking and Dagenham,FALSE,1.3,2600,6450,1150,34.8,17.8,68.3,3873,21.5,31.3,33200,215000,0.8,20.3
17,Barking and Dagenham - Village,Barking and Dagenham,FALSE,2.1,2750,7100,1200,34.5,17.9,90.8,4242,19.1,27.1,31960,202500,0.8,23.7
18,Barking and Dagenham - Whalebone,Barking and Dagenham,FALSE,1.6,2650,7200,1300,35.3,22.4,72.4,4617,12.7,32.8,37180,235000,1,25.9
19,Barnet - Brunswick Park,Barnet,FALSE,3.2,3400,11350,2800,38.9,34.4,49.4,7603,8.7,15,39800,435000,1.3,35.5
20,Barnet - Burnt Oak,Barnet,FALSE,2.1,4750,13050,1800,33.7,24.7,68.5,7674,14.9,52.2,29400,250000,0.8,28.6
21,Barnet - Childs Hill,Barnet,FALSE,3.1,4100,14300,2650,36.1,43.7,90.5,9309,12,83.7,38960,507500,0.8,35.9
22,Barnet - Colindale,Barnet,FALSE,2.6,6100,18550,2000,32.1,30.8,58.9,7344,14,55.3,30170,302500,0.8,29.9
23,Barnet - Coppetts,Barnet,FALSE,2.7,3500,12500,2000,36.3,40.6,75.6,8630,10.8,28.6,38090,335000,1,35.1
24,Barnet - East Barnet,Barnet,FALSE,3.8,3550,11050,2550,38.3,36.5,44,7566,9.4,11.9,39870,368000,1.2,35.3
25,Barnet - East Finchley,Barnet,FALSE,2.5,3250,11300,2300,37.2,49.6,47.5,8153,10.3,29.7,41160,437500,0.8,41.2
26,Barnet - Edgware,Barnet,FALSE,5.6,4050,10850,2750,37.1,36,71.4,7259,9.3,35.1,38410,455000,1.2,38.1
27,Barnet - Finchley Church End,Barnet,FALSE,2.7,3200,10800,2800,39.1,48.6,52,7386,7.3,49.5,45030,528000,1.2,41.4
28,Barnet - Garden Suburb,Barnet,FALSE,4.7,3450,10500,3000,39.1,57.3,65.1,7373,4.9,35.6,53090,825000,1.2,48
29,Barnet - Golders Green,Barnet,FALSE,3,6400,16050,2500,33,37.4,61.3,7635,12.7,66.1,40800,555250,1,37.3
